Year;Civil_status;Age;Number
1977;Unmarried;24;16068
1977;Unmarried;25;12213
1977;Unmarried;26;10309
1977;Unmarried;27;7925
1977;Unmarried;28;6661
1977;Unmarried;29;5699
1977;Unmarried;30;4887
1977;Unmarried;31;4149
1977;Unmarried;32;3423
1977;Unmarried;33;2913
1977;Unmarried;34;2479
1977;Unmarried;35;1999
1977;Married;18;712
1977;Married;19;2148
1977;Married;20;4979
1977;Married;21;8378
1977;Married;22;12109
1977;Married;23;16253
1977;Married;24;19343
1977;Married;25;22031
1977;Married;26;25284
1977;Married;27;27055
1977;Married;28;29914
1977;Married;29;33106
1977;Married;30;34897
1977;Married;31;34503
1977;Married;32;33534
1977;Married;33;31428
1977;Married;34;29808
1977;Married;35;26957
1978;Unmarried;18;34876
1978;Unmarried;19;33823
1978;Unmarried;20;31304
1978;Unmarried;21;28339
1978;Unmarried;22;24463
1978;Unmarried;23;20644
1978;Unmarried;24;17398
1978;Unmarried;25;13988
1978;Unmarried;26;10713
1978;Unmarried;27;9114
1978;Unmarried;28;7080
1978;Unmarried;29;6044
1978;Unmarried;30;5188
1978;Unmarried;31;4512
1978;Unmarried;32;3872
1978;Unmarried;33;3216
1978;Unmarried;34;2779
1978;Unmarried;35;2357
1978;Married;18;725
1978;Married;19;1985
1978;Married;20;4475
1978;Married;21;8007
1978;Married;22;11501
1978;Married;23;14851
1978;Married;24;18453
1978;Married;25;21090
1978;Married;26;23242
1978;Married;27;26170
1978;Married;28;27634
1978;Married;29;30302
1978;Married;30;33352
1978;Married;31;34997
1978;Married;32;34525
1978;Married;33;33531
1978;Married;34;31307
1978;Married;35;29734
1979;Unmarried;18;36241
1979;Unmarried;19;33890
1979;Unmarried;20;32076
1979;Unmarried;21;29009
1979;Unmarried;22;25549
1979;Unmarried;23;21885
1979;Unmarried;24;18343
1979;Unmarried;25;15389
1979;Unmarried;26;12447
1979;Unmarried;27;9590
1979;Unmarried;28;8254
1979;Unmarried;29;6490
1979;Unmarried;30;5552
1979;Unmarried;31;4875
1979;Unmarried;32;4241
1979;Unmarried;33;3650
1979;Unmarried;34;3062
1979;Unmarried;35;2676
1979;Married;18;596
1979;Married;19;1755
1979;Married;20;3812
1979;Married;21;6898
1979;Married;22;10628
1979;Married;23;13881
1979;Married;24;16907
1979;Married;25;20186
1979;Married;26;22309
1979;Married;27;24027
1979;Married;28;26746
1979;Married;29;27892
1979;Married;30;30525
1979;Married;31;33402
1979;Married;32;35016
1979;Married;33;34480
1979;Married;34;33412
1979;Married;35;31170
1980;Unmarried;18;36413
1980;Unmarried;19;35286
1980;Unmarried;20;32307
1980;Unmarried;21;29947
1980;Unmarried;22;26475
1980;Unmarried;23;23080
1980;Unmarried;24;19674
1980;Unmarried;25;16406
1980;Unmarried;26;13792
1980;Unmarried;27;11277
1980;Unmarried;28;8762
1980;Unmarried;29;7559
1980;Unmarried;30;5958
1980;Unmarried;31;5181
1980;Unmarried;32;4593
1980;Unmarried;33;4035
1980;Unmarried;34;3491
1980;Unmarried;35;2956
1980;Married;18;572
1980;Married;19;1561
1980;Married;20;3350
1980;Married;21;6044
1980;Married;22;9330
1980;Married;23;12979
1980;Married;24;15906
1980;Married;25;18564
1980;Married;26;21524
1980;Married;27;23216
1980;Married;28;24621
1980;Married;29;27181
1980;Married;30;28208
1980;Married;31;30592
1980;Married;32;33394
1980;Married;33;34888
1980;Married;34;34287
1980;Married;35;33258
1981;Unmarried;18;37083
1981;Unmarried;19;35563
1981;Unmarried;20;33848
1981;Unmarried;21;30444
1981;Unmarried;22;27622
1981;Unmarried;23;24008
1981;Unmarried;24;20884
1981;Unmarried;25;17710
1981;Unmarried;26;14865
1981;Unmarried;27;12560
1981;Unmarried;28;10362
1981;Unmarried;29;8110
1981;Unmarried;30;6971
1981;Unmarried;31;5589
1981;Unmarried;32;4878
1981;Unmarried;33;4333
1981;Unmarried;34;3868
1981;Unmarried;35;3364
1981;Married;18;541
1981;Married;19;1305
1981;Married;20;2959
1981;Married;21;5212
1981;Married;22;8151
1981;Married;23;11472
1981;Married;24;14884
1981;Married;25;17473
1981;Married;26;19745
1981;Married;27;22348
1981;Married;28;23763
1981;Married;29;24996
1981;Married;30;27421
1981;Married;31;28286
1981;Married;32;30536
1981;Married;33;33297
1981;Married;34;34638
1981;Married;35;34044
1982;Unmarried;18;39315
1982;Unmarried;19;36169
1982;Unmarried;20;34393
1982;Unmarried;21;32137
1982;Unmarried;22;28356
1982;Unmarried;23;25563
1982;Unmarried;24;21962
1982;Unmarried;25;18872
1982;Unmarried;26;16165
1982;Unmarried;27;13556
1982;Unmarried;28;11552
1982;Unmarried;29;9634
1982;Unmarried;30;7486
1982;Unmarried;31;6616
1982;Unmarried;32;5289
1982;Unmarried;33;4677
1982;Unmarried;34;4149
1982;Unmarried;35;3723
1982;Married;18;404
1982;Married;19;1184
1982;Married;20;2420
1982;Married;21;4610
1982;Married;22;7143
1982;Married;23;9916
1982;Married;24;13125
1982;Married;25;16401
1982;Married;26;18564
1982;Married;27;20594
1982;Married;28;22908
1982;Married;29;24106
1982;Married;30;25276
1982;Married;31;27372
1982;Married;32;28182
1982;Married;33;30375
1982;Married;34;33063
1982;Married;35;34320
1983;Unmarried;18;39710
1983;Unmarried;19;38530
1983;Unmarried;20;35257
1983;Unmarried;21;32927
1983;Unmarried;22;30314
1983;Unmarried;23;26423
1983;Unmarried;24;23556
1983;Unmarried;25;20062
1983;Unmarried;26;17287
1983;Unmarried;27;14904
1983;Unmarried;28;12549
1983;Unmarried;29;10788
1983;Unmarried;30;8913
1983;Unmarried;31;7078
1983;Unmarried;32;6303
1983;Unmarried;33;5054
1983;Unmarried;34;4473
1983;Unmarried;35;3989
1983;Married;18;366
1983;Married;19;954
1983;Married;20;2081
1983;Married;21;3898
1983;Married;22;6298
1983;Married;23;8804
1983;Married;24;11571
1983;Married;25;14741
1983;Married;26;17555
1983;Married;27;19384
1983;Married;28;21249
1983;Married;29;23217
1983;Married;30;24459
1983;Married;31;25294
1983;Married;32;27287
1983;Married;33;27996
1983;Married;34;30169
1983;Married;35;32768
1984;Unmarried;18;40918
1984;Unmarried;19;38915
1984;Unmarried;20;37754
1984;Unmarried;21;33957
1984;Unmarried;22;31175
1984;Unmarried;23;28208
1984;Unmarried;24;24372
1984;Unmarried;25;21477
1984;Unmarried;26;18330
1984;Unmarried;27;15817
1984;Unmarried;28;13651
1984;Unmarried;29;11518
1984;Unmarried;30;9889
1984;Unmarried;31;8374
1984;Unmarried;32;6705
1984;Unmarried;33;5955
1984;Unmarried;34;4811
1984;Unmarried;35;4284
1984;Married;18;325
1984;Married;19;865
1984;Married;20;1821
1984;Married;21;3471
1984;Married;22;5571
1984;Married;23;8206
1984;Married;24;10608
1984;Married;25;13341
1984;Married;26;16136
1984;Married;27;18662
1984;Married;28;20238
1984;Married;29;21856
1984;Married;30;23746
1984;Married;31;24608
1984;Married;32;25303
1984;Married;33;27327
1984;Married;34;27911
1984;Married;35;30111
1985;Unmarried;18;42406
1985;Unmarried;19;40102
1985;Unmarried;20;38231
1985;Unmarried;21;36484
1985;Unmarried;22;32188
1985;Unmarried;23;29121
1985;Unmarried;24;26007
1985;Unmarried;25;22093
1985;Unmarried;26;19458
1985;Unmarried;27;16672
1985;Unmarried;28;14406
1985;Unmarried;29;12530
1985;Unmarried;30;10500
1985;Unmarried;31;9291
1985;Unmarried;32;7868
1985;Unmarried;33;6339
1985;Unmarried;34;5677
1985;Unmarried;35;4584
1985;Married;18;302
1985;Married;19;863
1985;Married;20;1705
1985;Married;21;3182
1985;Married;22;5165
1985;Married;23;7459
1985;Married;24;10165
1985;Married;25;12568
1985;Married;26;15080
1985;Married;27;17478
1985;Married;28;19822
1985;Married;29;21023
1985;Married;30;22632
1985;Married;31;24042
1985;Married;32;24841
1985;Married;33;25394
1985;Married;34;27309
1985;Married;35;27849
1986;Unmarried;18;39325
1986;Unmarried;19;41646
1986;Unmarried;20;39482
1986;Unmarried;21;37096
1986;Unmarried;22;34561
1986;Unmarried;23;30160
1986;Unmarried;24;26982
1986;Unmarried;25;23801
1986;Unmarried;26;20084
1986;Unmarried;27;17741
1986;Unmarried;28;15167
1986;Unmarried;29;13267
1986;Unmarried;30;11355
1986;Unmarried;31;9806
1986;Unmarried;32;8732
1986;Unmarried;33;7442
1986;Unmarried;34;6024
1986;Unmarried;35;5408
1986;Married;18;336
1986;Married;19;797
1986;Married;20;1731
1986;Married;21;2990
1986;Married;22;5079
1986;Married;23;7114
1986;Married;24;9458
1986;Married;25;12186
1986;Married;26;14351
1986;Married;27;16557
1986;Married;28;18715
1986;Married;29;20753
1986;Married;30;22001
1986;Married;31;23054
1986;Married;32;24352
1986;Married;33;25014
1986;Married;34;25493
1986;Married;35;27281
1987;Unmarried;18;35895
1987;Unmarried;19;38678
1987;Unmarried;20;40952
1987;Unmarried;21;38370
1987;Unmarried;22;35302
1987;Unmarried;23;32449
1987;Unmarried;24;27932
1987;Unmarried;25;24580
1987;Unmarried;26;21660
1987;Unmarried;27;18251
1987;Unmarried;28;16103
1987;Unmarried;29;13875
1987;Unmarried;30;11977
1987;Unmarried;31;10608
1987;Unmarried;32;9205
1987;Unmarried;33;8217
1987;Unmarried;34;7030
1987;Unmarried;35;5739
1987;Married;18;443
1987;Married;19;832
1987;Married;20;1686
1987;Married;21;3040
1987;Married;22;4822
1987;Married;23;7134
1987;Married;24;9252
1987;Married;25;11674
1987;Married;26;14095
1987;Married;27;15969
1987;Married;28;17930
1987;Married;29;19753
1987;Married;30;21809
1987;Married;31;22487
1987;Married;32;23412
1987;Married;33;24637
1987;Married;34;25170
1987;Married;35;25525
1988;Unmarried;18;34537
1988;Unmarried;19;35263
1988;Unmarried;20;38042
1988;Unmarried;21;39933
1988;Unmarried;22;36735
1988;Unmarried;23;33165
1988;Unmarried;24;30085
1988;Unmarried;25;25466
1988;Unmarried;26;22377
1988;Unmarried;27;19681
1988;Unmarried;28;16579
1988;Unmarried;29;14744
1988;Unmarried;30;12504
1988;Unmarried;31;11190
1988;Unmarried;32;9933
1988;Unmarried;33;8629
1988;Unmarried;34;7766
1988;Unmarried;35;6667
1988;Married;18;439
1988;Married;19;911
1988;Married;20;1573
1988;Married;21;2887
1988;Married;22;4619
1988;Married;23;6794
1988;Married;24;9307
1988;Married;25;11474
1988;Married;26;13579
1988;Married;27;15781
1988;Married;28;17390
1988;Married;29;19036
1988;Married;30;20908
1988;Married;31;22339
1988;Married;32;22973
1988;Married;33;23745
1988;Married;34;24840
1988;Married;35;25351
1989;Unmarried;18;34576
1989;Unmarried;19;33635
1989;Unmarried;20;34469
1989;Unmarried;21;37024
1989;Unmarried;22;38184
1989;Unmarried;23;34578
1989;Unmarried;24;30881
1989;Unmarried;25;27395
1989;Unmarried;26;23024
1989;Unmarried;27;20129
1989;Unmarried;28;17862
1989;Unmarried;29;15046
1989;Unmarried;30;13219
1989;Unmarried;31;11604
1989;Unmarried;32;10468
1989;Unmarried;33;9319
1989;Unmarried;34;8126
1989;Unmarried;35;7353
1989;Married;18;481
1989;Married;19;848
1989;Married;20;1581
1989;Married;21;2577
1989;Married;22;4469
1989;Married;23;6515
1989;Married;24;8822
1989;Married;25;11607
1989;Married;26;13558
1989;Married;27;15458
1989;Married;28;17301
1989;Married;29;18642
1989;Married;30;20285
1989;Married;31;21492
1989;Married;32;22765
1989;Married;33;23319
1989;Married;34;23933
1989;Married;35;24981
1990;Unmarried;18;36316
1990;Unmarried;19;33809
1990;Unmarried;20;33276
1990;Unmarried;21;33773
1990;Unmarried;22;35622
1990;Unmarried;23;36292
1990;Unmarried;24;32357
1990;Unmarried;25;28388
1990;Unmarried;26;25001
1990;Unmarried;27;21025
1990;Unmarried;28;18315
1990;Unmarried;29;16283
1990;Unmarried;30;13439
1990;Unmarried;31;12351
1990;Unmarried;32;10859
1990;Unmarried;33;9802
1990;Unmarried;34;8760
1990;Unmarried;35;7686
1990;Married;18;440
1990;Married;19;917
1990;Married;20;1460
1990;Married;21;2505
1990;Married;22;3911
1990;Married;23;6221
1990;Married;24;8480
1990;Married;25;10967
1990;Married;26;13658
1990;Married;27;15197
1990;Married;28;16961
1990;Married;29;18520
1990;Married;30;20052
1990;Married;31;20847
1990;Married;32;21863
1990;Married;33;23151
1990;Married;34;23579
1990;Married;35;24118
1991;Unmarried;18;36893
1991;Unmarried;19;35534
1991;Unmarried;20;33399
1991;Unmarried;21;32709
1991;Unmarried;22;32684
1991;Unmarried;23;33994
1991;Unmarried;24;34072
1991;Unmarried;25;29799
1991;Unmarried;26;26041
1991;Unmarried;27;22903
1991;Unmarried;28;19168
1991;Unmarried;29;16680
1991;Unmarried;30;14568
1991;Unmarried;31;12560
1991;Unmarried;32;11548
1991;Unmarried;33;10214
1991;Unmarried;34;9268
1991;Unmarried;35;8298
1991;Married;18;457
1991;Married;19;818
1991;Married;20;1511
1991;Married;21;2336
1991;Married;22;3708
1991;Married;23;5511
1991;Married;24;8339
1991;Married;25;10827
1991;Married;26;13099
1991;Married;27;15551
1991;Married;28;16880
1991;Married;29;18386
1991;Married;30;20112
1991;Married;31;20671
1991;Married;32;21484
1991;Married;33;22302
1991;Married;34;23547
1991;Married;35;23875
1992;Unmarried;18;35073
1992;Unmarried;19;35983
1992;Unmarried;20;35220
1992;Unmarried;21;33086
1992;Unmarried;22;31742
1992;Unmarried;23;31280
1992;Unmarried;24;32078
1992;Unmarried;25;31473
1992;Unmarried;26;27474
1992;Unmarried;27;23870
1992;Unmarried;28;20931
1992;Unmarried;29;17589
1992;Unmarried;30;14797
1992;Unmarried;31;13630
1992;Unmarried;32;11824
1992;Unmarried;33;10870
1992;Unmarried;34;9643
1992;Unmarried;35;8773
1992;Married;18;483
1992;Married;19;968
1992;Married;20;1420
1992;Married;21;2297
1992;Married;22;3410
1992;Married;23;5167
1992;Married;24;7386
1992;Married;25;10786
1992;Married;26;13010
1992;Married;27;15078
1992;Married;28;17305
1992;Married;29;18269
1992;Married;30;20071
1992;Married;31;20918
1992;Married;32;21270
1992;Married;33;22064
1992;Married;34;22776
1992;Married;35;23927
1993;Unmarried;18;35177
1993;Unmarried;19;34210
1993;Unmarried;20;35749
1993;Unmarried;21;34930
1993;Unmarried;22;32234
1993;Unmarried;23;30497
1993;Unmarried;24;29529
1993;Unmarried;25;29806
1993;Unmarried;26;28981
1993;Unmarried;27;25047
1993;Unmarried;28;21750
1993;Unmarried;29;19187
1993;Unmarried;30;15596
1993;Unmarried;31;13830
1993;Unmarried;32;12744
1993;Unmarried;33;11120
1993;Unmarried;34;10266
1993;Unmarried;35;9152
1993;Married;18;503
1993;Married;19;912
1993;Married;20;1556
1993;Married;21;2159
1993;Married;22;3339
1993;Married;23;4696
1993;Married;24;6897
1993;Married;25;9570
1993;Married;26;13022
1993;Married;27;15205
1993;Married;28;17003
1993;Married;29;18883
1993;Married;30;20096
1993;Married;31;20805
1993;Married;32;21662
1993;Married;33;21788
1993;Married;34;22503
1993;Married;35;23118
1994;Unmarried;18;35806
1994;Unmarried;19;34336
1994;Unmarried;20;34082
1994;Unmarried;21;35554
1994;Unmarried;22;34179
1994;Unmarried;23;31110
1994;Unmarried;24;29088
1994;Unmarried;25;27749
1994;Unmarried;26;27624
1994;Unmarried;27;26662
1994;Unmarried;28;22975
1994;Unmarried;29;19982
1994;Unmarried;30;17115
1994;Unmarried;31;14570
1994;Unmarried;32;12923
1994;Unmarried;33;11976
1994;Unmarried;34;10510
1994;Unmarried;35;9708
1994;Married;18;436
1994;Married;19;920
1994;Married;20;1398
1994;Married;21;2261
1994;Married;22;3052
1994;Married;23;4557
1994;Married;24;6181
1994;Married;25;8670
1994;Married;26;11561
1994;Married;27;15128
1994;Married;28;17066
1994;Married;29;18597
1994;Married;30;20833
1994;Married;31;20884
1994;Married;32;21609
1994;Married;33;22249
1994;Married;34;22160
1994;Married;35;22944
1995;Unmarried;18;32304
1995;Unmarried;19;35047
1995;Unmarried;20;34257
1995;Unmarried;21;33896
1995;Unmarried;22;34882
1995;Unmarried;23;33053
1995;Unmarried;24;29644
1995;Unmarried;25;27201
1995;Unmarried;26;25623
1995;Unmarried;27;25211
1995;Unmarried;28;24258
1995;Unmarried;29;20874
1995;Unmarried;30;17537
1995;Unmarried;31;15775
1995;Unmarried;32;13451
1995;Unmarried;33;11977
1995;Unmarried;34;11143
1995;Unmarried;35;9877
1995;Married;18;309
1995;Married;19;822
1995;Married;20;1397
1995;Married;21;2056
1995;Married;22;3113
1995;Married;23;4248
1995;Married;24;6029
1995;Married;25;8030
1995;Married;26;10697
1995;Married;27;13870
1995;Married;28;17314
1995;Married;29;18906
1995;Married;30;20833
1995;Married;31;21953
1995;Married;32;21807
1995;Married;33;22319
1995;Married;34;22871
1995;Married;35;22715
1996;Unmarried;18;31164
1996;Unmarried;19;31769
1996;Unmarried;20;35038
1996;Unmarried;21;34294
1996;Unmarried;22;33411
1996;Unmarried;23;33791
1996;Unmarried;24;31650
1996;Unmarried;25;27776
1996;Unmarried;26;25243
1996;Unmarried;27;23517
1996;Unmarried;28;23015
1996;Unmarried;29;22081
1996;Unmarried;30;18335
1996;Unmarried;31;16293
1996;Unmarried;32;14626
1996;Unmarried;33;12579
1996;Unmarried;34;11268
1996;Unmarried;35;10461
1996;Married;18;253
1996;Married;19;718
1996;Married;20;1287
1996;Married;21;1988
1996;Married;22;2927
1996;Married;23;4354
1996;Married;24;5786
1996;Married;25;8054
1996;Married;26;10047
1996;Married;27;12883
1996;Married;28;16059
1996;Married;29;19467
1996;Married;30;21556
1996;Married;31;22095
1996;Married;32;23043
1996;Married;33;22700
1996;Married;34;23022
1996;Married;35;23541
1997;Unmarried;18;31239
1997;Unmarried;19;30593
1997;Unmarried;20;31647
1997;Unmarried;21;34904
1997;Unmarried;22;33692
1997;Unmarried;23;32444
1997;Unmarried;24;32392
1997;Unmarried;25;29726
1997;Unmarried;26;25763
1997;Unmarried;27;23073
1997;Unmarried;28;21331
1997;Unmarried;29;20821
1997;Unmarried;30;19410
1997;Unmarried;31;16965
1997;Unmarried;32;15001
1997;Unmarried;33;13573
1997;Unmarried;34;11734
1997;Unmarried;35;10583
1997;Married;18;308
1997;Married;19;700
1997;Married;20;1258
1997;Married;21;2002
1997;Married;22;2864
1997;Married;23;4103
1997;Married;24;5992
1997;Married;25;7797
1997;Married;26;10153
1997;Married;27;12278
1997;Married;28;15022
1997;Married;29;18099
1997;Married;30;22053
1997;Married;31;22823
1997;Married;32;23252
1997;Married;33;23999
1997;Married;34;23383
1997;Married;35;23615
1998;Unmarried;18;30088
1998;Unmarried;19;30731
1998;Unmarried;20;30407
1998;Unmarried;21;31528
1998;Unmarried;22;34443
1998;Unmarried;23;32794
1998;Unmarried;24;31088
1998;Unmarried;25;30584
1998;Unmarried;26;27758
1998;Unmarried;27;23695
1998;Unmarried;28;21026
1998;Unmarried;29;19334
1998;Unmarried;30;18414
1998;Unmarried;31;17867
1998;Unmarried;32;15701
1998;Unmarried;33;13984
1998;Unmarried;34;12703
1998;Unmarried;35;10992
1998;Married;18;278
1998;Married;19;730
1998;Married;20;1180
1998;Married;21;1857
1998;Married;22;2757
1998;Married;23;3931
1998;Married;24;5474
1998;Married;25;7856
1998;Married;26;9729
1998;Married;27;12160
1998;Married;28;14185
1998;Married;29;16872
1998;Married;30;20372
1998;Married;31;23292
1998;Married;32;23866
1998;Married;33;24122
1998;Married;34;24747
1998;Married;35;23973
1999;Unmarried;18;29309
1999;Unmarried;19;29529
1999;Unmarried;20;30435
1999;Unmarried;21;30312
1999;Unmarried;22;31139
1999;Unmarried;23;33578
1999;Unmarried;24;31472
1999;Unmarried;25;29467
1999;Unmarried;26;28554
1999;Unmarried;27;25621
1999;Unmarried;28;21530
1999;Unmarried;29;19088
1999;Unmarried;30;16938
1999;Unmarried;31;17001
1999;Unmarried;32;16515
1999;Unmarried;33;14609
1999;Unmarried;34;13065
1999;Unmarried;35;11936
1999;Married;18;295
1999;Married;19;720
1999;Married;20;1270
1999;Married;21;1799
1999;Married;22;2638
1999;Married;23;3800
1999;Married;24;5345
1999;Married;25;7182
1999;Married;26;9873
1999;Married;27;11776
1999;Married;28;14153
1999;Married;29;16026
1999;Married;30;19078
1999;Married;31;21494
1999;Married;32;24355
1999;Married;33;24747
1999;Married;34;24873
1999;Married;35;25389
2000;Unmarried;18;27462
2000;Unmarried;19;28853
2000;Unmarried;20;29353
2000;Unmarried;21;30430
2000;Unmarried;22;29989
2000;Unmarried;23;30396
2000;Unmarried;24;32404
2000;Unmarried;25;29768
2000;Unmarried;26;27514
2000;Unmarried;27;26247
2000;Unmarried;28;23369
2000;Unmarried;29;19520
2000;Unmarried;30;16761
2000;Unmarried;31;15633
2000;Unmarried;32;15717
2000;Unmarried;33;15263
2000;Unmarried;34;13589
2000;Unmarried;35;12221
2000;Married;18;289
2000;Married;19;758
2000;Married;20;1209
2000;Married;21;1882
2000;Married;22;2540
2000;Married;23;3570
2000;Married;24;5081
2000;Married;25;7040
2000;Married;26;9082
2000;Married;27;12018
2000;Married;28;13820
2000;Married;29;16027
2000;Married;30;18175
2000;Married;31;20194
2000;Married;32;22589
2000;Married;33;25350
2000;Married;34;25548
2000;Married;35;25465
2001;Unmarried;18;27186
2001;Unmarried;19;27026
2001;Unmarried;20;28549
2001;Unmarried;21;29401
2001;Unmarried;22;30052
2001;Unmarried;23;29203
2001;Unmarried;24;29244
2001;Unmarried;25;30537
2001;Unmarried;26;27776
2001;Unmarried;27;25218
2001;Unmarried;28;23731
2001;Unmarried;29;21088
2001;Unmarried;30;17275
2001;Unmarried;31;15286
2001;Unmarried;32;14319
2001;Unmarried;33;14517
2001;Unmarried;34;14158
2001;Unmarried;35;12675
2001;Married;18;247
2001;Married;19;711
2001;Married;20;1248
2001;Married;21;1754
2001;Married;22;2637
2001;Married;23;3442
2001;Married;24;4795
2001;Married;25;6956
2001;Married;26;8872
2001;Married;27;11269
2001;Married;28;14339
2001;Married;29;15857
2001;Married;30;18069
2001;Married;31;19373
2001;Married;32;21220
2001;Married;33;23540
2001;Married;34;26138
2001;Married;35;26178
2002;Unmarried;18;26609
2002;Unmarried;19;26868
2002;Unmarried;20;26866
2002;Unmarried;21;28676
